127.0.0.1 - - [24/Feb/2023:10:55:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:55:36 +0900] "GET /book/index.jsp HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:55:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:55:40 +0900] "GET /book/login/login.jsp HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:55:44 +0900] "POST /book/login HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:55:48 +0900] "GET /book/list HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:55:49 +0900] "GET /book/bookInput.jsp HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:55:59 +0900] "GET /book/bookInput.jsp HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:56:19 +0900] "GET /book/bookInput.jsp HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:57:39 +0900] "GET /book/list HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:57:39 +0900] "GET /book/list HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:57:39 +0900] "GET /book/list HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:57:39 +0900] "GET /book/list HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:57:39 +0900] "GET /book/list HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:57:40 +0900] "GET /book/book/bookInput.jsp HTTP/1.1" 200 1397
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:58:06 +0900] "GET /book/book/bookInput.jsp HTTP/1.1" 200 1397
0:0:0:0:0:0:0:1 - - [24/Feb/2023:11:00:06 +0900] "GET /book/list HTTP/1.1" 200 1797
0:0:0:0:0:0:0:1 - - [24/Feb/2023:11:00:06 +0900] "GET /book/list HTTP/1.1" 200 1797
0:0:0:0:0:0:0:1 - - [24/Feb/2023:11:00:06 +0900] "GET /book/list HTTP/1.1" 200 1797
0:0:0:0:0:0:0:1 - - [24/Feb/2023:11:00:06 +0900] "GET /book/list HTTP/1.1" 200 1797
0:0:0:0:0:0:0:1 - - [24/Feb/2023:11:00:06 +0900] "GET /book/list HTTP/1.1" 200 1797
0:0:0:0:0:0:0:1 - - [24/Feb/2023:11:00:06 +0900] "GET /book/list HTTP/1.1" 200 1797
0:0:0:0:0:0:0:1 - - [24/Feb/2023:11:00:07 +0900] "GET /book/list HTTP/1.1" 200 1797
0:0:0:0:0:0:0:1 - - [24/Feb/2023:11:00:07 +0900] "GET /book/list HTTP/1.1" 200 1797
0:0:0:0:0:0:0:1 - - [24/Feb/2023:11:00:07 +0900] "GET /book/book/bookInput.jsp HTTP/1.1" 200 1397
0:0:0:0:0:0:0:1 - - [24/Feb/2023:11:00:08 +0900] "GET /book/list HTTP/1.1" 200 1797
0:0:0:0:0:0:0:1 - - [24/Feb/2023:11:00:08 +0900] "GET /book/list HTTP/1.1" 200 1797
0:0:0:0:0:0:0:1 - - [24/Feb/2023:11:00:09 +0900] "GET /book/list HTTP/1.1" 200 1797
