127.0.0.1 - - [09/Feb/2023:12:12:25 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:12:25 +0900] "GET /jsProject/win2.html HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:12:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:13:11 +0900] "GET /jsProject/win2.html HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:14:06 +0900] "GET /jsProject/win2.html HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:14:07 +0900] "GET /jsProject/win2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:14:15 +0900] "GET /jsProject/win2.html HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:14:16 +0900] "GET /jsProject/win2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:14:16 +0900] "GET /jsProject/win2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:14:17 +0900] "GET /jsProject/win2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:14:18 +0900] "GET /jsProject/win2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:14:23 +0900] "GET /jsProject/win2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:14:24 +0900] "GET /jsProject/win2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:14:25 +0900] "GET /jsProject/win2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:14:54 +0900] "GET /jsProject/win2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:14:54 +0900] "GET /jsProject/win2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:14:55 +0900] "GET /jsProject/win2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:14:55 +0900] "GET /jsProject/win2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:14:55 +0900] "GET /jsProject/win2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:14:55 +0900] "GET /jsProject/win2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:14:56 +0900] "GET /jsProject/win2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:14:56 +0900] "GET /jsProject/win2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:15:12 +0900] "GET /jsProject/js33_location.html HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:15:16 +0900] "GET /jsProject/win2.html?dd&dd HTTP/1.1" 200 486
