127.0.0.1 - - [27/Feb/2023:10:04:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Feb/2023:10:04:42 +0900] "GET /step10_Ajax/test1/simpleAjaxApp.html HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [27/Feb/2023:10:04:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Feb/2023:10:12:16 +0900] "GET /step10_Ajax/test1/simpleAjaxApp.html HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [27/Feb/2023:10:12:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Feb/2023:10:12:18 +0900] "GET /step10_Ajax/test1/simpleAjaxApp.html HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [27/Feb/2023:10:12:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Feb/2023:10:15:41 +0900] "GET /step10_Ajax/test1/simpleAjaxApp.html HTTP/1.1" 200 1958
0:0:0:0:0:0:0:1 - - [27/Feb/2023:10:15:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Feb/2023:10:16:09 +0900] "GET /step10_Ajax/test1/simpleAjaxApp.html HTTP/1.1" 200 1957
0:0:0:0:0:0:0:1 - - [27/Feb/2023:10:16:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Feb/2023:10:16:12 +0900] "GET /step10_Ajax/test1/simple.html HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [27/Feb/2023:10:35:23 +0900] "GET /step10_Ajax/test2/helloApp.html HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [27/Feb/2023:10:35:50 +0900] "GET /step10_Ajax/test2/helloApp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:10:35:51 +0900] "GET /step10_Ajax/test2/helloApp.html HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [27/Feb/2023:10:35:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Feb/2023:10:36:23 +0900] "GET /step10_Ajax/test2/helloApp.html HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [27/Feb/2023:10:36:23 +0900] "GET /step10_Ajax/test2/helloApp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:10:36:23 +0900] "GET /step10_Ajax/test2/helloApp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:10:36:24 +0900] "GET /step10_Ajax/test2/helloApp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:10:36:25 +0900] "GET /step10_Ajax/test2/helloApp.html HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [27/Feb/2023:10:36:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Feb/2023:10:36:31 +0900] "GET /step10_Ajax/test2/hello.jsp?irum=%EA%B0%80%EB%82%98%EB%8B%A4 HTTP/1.1" 200 180
